Epoch,Train_Loss,Train_DSC,Train_SEN,Train_PPV,Val_Loss,Val_DSC,Val_SEN,Val_PPV
1,0.8296096245447795,0.30479827572902046,0.34319525957107544,0.3502980185051759,0.7951496601104736,0.2777631118893623,0.33885488063097,0.48899488151073456
2,0.5885973850886027,0.5880236903826396,0.5866433262825013,0.6199944804112116,0.6539561033248902,0.4103312313556671,0.44478857815265654,0.5518416732549667
3,0.4559626857439677,0.6579910432298978,0.6598930110534033,0.6716268087426821,0.6356702387332916,0.42503073439002037,0.43643134757876395,0.5107717454433441
4,0.33076128661632537,0.7163813958565394,0.7168112407128017,0.7309432804584504,0.4016372799873352,0.6147587522864342,0.6200885646045208,0.6981102466583252
5,0.3249080727497737,0.6910518864790599,0.6922363559405009,0.7030083139737447,0.2993520077317953,0.7081860199570655,0.7163905918598175,0.7514258086681366
6,0.2606649585068226,0.751290237903595,0.7512176185846329,0.7616275946299235,0.3115541756153107,0.6968034029006958,0.7051297754049302,0.7354642301797867
7,0.22973460604747137,0.7809259275595347,0.7797387470801671,0.7929172764221827,0.43596423268318174,0.5678403779864312,0.5794535532593728,0.6054144024848938
8,0.21741459518671036,0.7917070329189301,0.7905246814092001,0.8017386217912038,0.38963478058576584,0.6133033044636249,0.6204775691032409,0.6583325579762459
9,0.22133666053414344,0.7863224267959594,0.7852896382411321,0.8003772914409637,0.2659218743443489,0.7424232631921768,0.7515862315893174,0.7909171998500824
10,0.15418693584700424,0.8533017257849376,0.8536602914333343,0.8600491603215535,0.24622890464961528,0.7593578577041626,0.7719867557287217,0.7914175063371658
11,0.1401133630424738,0.8665450721979141,0.8661412457625072,0.8716346085071563,0.17887092884629965,0.8282734751701355,0.832627248764038,0.8405688285827637
12,0.10606409572064876,0.9001662731170654,0.9004152218500773,0.9030607163906097,0.26135004982352256,0.7461477786302566,0.7553880691528321,0.7686287134885788
13,0.13635083188613256,0.868608280022939,0.8703237334887187,0.8703859716653823,0.3123381808400154,0.6898950979113578,0.7044394463300705,0.7283639639616013
14,0.11520705794294675,0.8892691334088644,0.8896201471487681,0.8930872837702434,0.24523981288075447,0.7602731436491013,0.7739724934101104,0.8095196545124054
15,0.12149568448464075,0.8825837930043539,0.8831281175216039,0.884501235683759,0.243819922208786,0.7596416234970093,0.7670805960893631,0.802356967329979
